"Year","UTLA18CD","UTLA18NM","Pop_Est_Total","Grants_Inside_AEF","Grants_Outside_AEF","Grants_LSSG_ABG","Grants_RSG","Income_Rates","Police_Grant","Central_Gov_Funding_Total","Central_Gov_Funding_Total_PerCap"
2009,"E10000008","Devon",740988,497594.194220362,264697.989884916,37299,49081.962991635,212650.198588635,48290.3194768252,1109613.66516237,1.49747858961599
2010,"E10000008","Devon",743908,467931.458208925,296085,51998,34471.1691863166,237388.648563097,49810.8547568609,1137685.1307152,1.52933579248402
2011,"E10000008","Devon",747709,411472.741816121,279485,2623,65889.1429226556,213165.130971573,53206.0057494129,1025841.02145976,1.37197896703097
2012,"E10000008","Devon",753102,410490.130723164,284084.268018694,2987,5091.1156328887,262624.127880363,49429.7950434203,1014706.43729853,1.3473691973976
2013,"E10000008","Devon",757930,427722.613144332,227967.520971548,0,172227.454520883,120873.866414596,81927.1965272502,1030718.65157861,1.3599127248936
2014,"E10000008","Devon",764702,414904.647806481,231963.304777964,915,146269.768383959,118749.666364827,85686.5578617837,998488.945195015,1.30572294200226
2015,"E10000008","Devon",772406,431170.664762965,222154.2903277,673,109044.263106247,127764.923856903,81838.9769369975,972646.118990812,1.25924205533206
2016,"E10000008","Devon",778831,429671.786835913,216146.294,514,73066.1445492224,126795.551423883,81483.8305173747,927677.607326393,1.1911154118498
2017,"E10000008","Devon",787171,435554.796238715,204532.34376,545,41738.1420925005,133637.125470119,80553.4614966817,896560.869058016,1.13896582706682
2018,"E10000008","Devon",795286,406868.624927837,194360.095880788,721,3370.46667788192,192187.898705779,80770.6420990753,878278.728291362,1.10435582707524
2002,"E08000017","Doncaster",288647,49207.04027817,53701.3804252153,NA,141345.950438485,96675.2514101607,20904.6790229598,361834.301574991,1.25355296114282
2003,"E08000017","Doncaster",290111,58152.637076665,61244.4912397248,NA,171637.147079399,91028.93060875,22374.3246013908,404437.53060593,1.39407857890921
2004,"E08000017","Doncaster",290850,56793.6973257007,93884.7468987618,NA,188249.394658414,87046.7006659452,22601.9433724548,448576.482921276,1.54229493870131
2005,"E08000017","Doncaster",292174,63659.2834143218,92252.814942607,NA,183408.682773116,104103.287863791,23466.0916757656,466890.160669601,1.59798668146242
2006,"E08000017","Doncaster",293990,232157.773395831,101511.402397213,NA,23612.9554196584,122320.689625722,21960.4202662818,501563.241104706,1.70605544782035
2007,"E08000017","Doncaster",296215,248131.263519022,110946.850179401,NA,21643.1503158949,128965.842639722,22460.8734858825,532147.980139923,1.79649234555955
2008,"E08000017","Doncaster",298388,245159.896132724,111705.731750704,28939,20068.0068995506,144155.559198083,23060.5993121735,573088.793293235,1.92061608809079
2009,"E08000017","Doncaster",300184,254956.125617232,124197.33943521,30673.1639809496,31824.9889149491,137880.1146334,23653.8701957541,603185.602777494,2.00938625235687
2010,"E08000017","Doncaster",301299,232826.589778756,142899.923166608,36975,22143.0474066883,152489.035000386,24197.3520745819,611530.94742702,2.02964811508508
2011,"E08000017","Doncaster",302468,228200.521146297,132330.137189548,4092,41014.8871413635,132690.077266419,24932.4718690584,563260.094612686,1.86221383621635
2012,"E08000017","Doncaster",302920,193467.122852863,127337.008385205,1339,3104.79258375222,160183.127675464,23014.5211633991,508445.572660683,1.6784813569942
2013,"E08000017","Doncaster",303693,186069.438196714,107724.813713453,576,104880.043286812,73597.4903939581,43587.4074971292,516435.193088066,1.70051727595982
2014,"E08000017","Doncaster",304398,184785.400318281,99306.6608505455,345,87398.4517542062,74943.1585359069,44472.891662909,491251.563121849,1.61384622475131
2015,"E08000017","Doncaster",305496,180480.567678961,95950.2913518925,200,64181.7364141518,78422.834289258,42187.3070026907,461422.736736954,1.51040516647339
2016,"E08000017","Doncaster",307374,179000.076122427,92982.5364270438,130,50843.5444167191,81377.3201745617,41915.0901774417,446248.567318193,1.45180974096115
2017,"E08000017","Doncaster",308940,172667.687845591,87650.0558041401,0,38460.6564521743,84687.8233873601,41333.7462763152,424799.969765581,1.37502417869354
2018,"E08000017","Doncaster",310542,183268.849227111,74656.9168005543,143,30148.6448872992,89795.0086533924,41267.5339143129,419279.95348267,1.35015538472306
2002,"E10000009","Dorset",395606,50411.4779492108,87079.779223231,NA,70548.8674378293,131044.869271343,21274.4509556581,360359.444837272,0.910904902446556
2003,"E10000009","Dorset",398682,61550.066980124,90876.4623723018,NA,94995.1962470613,124221.504005129,22545.1163325497,394188.345937166,0.988728725995069
2004,"E10000009","Dorset",400773,72281.6064937888,105802.88400437,NA,108661.373344548,119466.75390126,22855.8898255355,429068.507569504,1.07060232992119
2005,"E10000009","Dorset",403444,70663.7325174998,116266.527440628,NA,99145.4176160836,143763.233866022,23756.3243840715,453595.235824304,1.12430779940786
2006,"E10000009","Dorset",405855,261767.367694306,126755.910740682,NA,12190.4127281924,63150.033246136,21766.5117968578,485630.236206174,1.19656092990397
2007,"E10000009","Dorset",409550,302793.289796562,113021.001435233,NA,11447.5435919012,68206.4630002035,22216.2131451799,517684.51096908,1.26403250145057
2008,"E10000009","Dorset",411044,301880.886077968,119644.825840881,16249,11268.1363601987,80940.9476488602,22380.5650490964,552364.360977005,1.34380835379425
2009,"E10000009","Dorset",410844,295389.401983532,158214.622484138,17155,17988.8551651917,77936.5814254327,22876.3140305127,589560.775088807,1.43499911180109
2010,"E10000009","Dorset",412015,316159.847125706,173212,23933,12651.4738421601,87125.0385095322,23328.3341033524,636409.693580751,1.54462748584578
2011,"E10000009","Dorset",413813,280896.815214037,166029,1277,24714.4455710027,79950.15430449,25464.8858075128,578332.300897043,1.39756919404911
2012,"E10000009","Dorset",414965,263836.242671596,163943,1196,1969.91762764854,101613.135713847,23471.4796053105,556029.775618403,1.33994379193041
2013,"E10000009","Dorset",417025,267954.045013287,132810,933,70145.3419898027,46482.0735724719,35756.7927568516,554081.253332413,1.3286523669622
2014,"E10000009","Dorset",418498,265171.871059045,144823,991,59895.7155109963,47618.6772893594,38333.0810840768,556833.344943478,1.33055198577646
2015,"E10000009","Dorset",420847,240452.28190361,130928,112.138,44519.1794078883,53339.1739483951,36560.8847814826,505911.658041376,1.20212727675705
2016,"E10000009","Dorset",422933,238495.269974907,127865,305,25515.7796006676,50252.6072821028,0,442433.656857678,1.04610814681682
2017,"E10000009","Dorset",424667,239531.748769241,121999.165,362,9175.8808502483,48996.0594387043,36184.5472765279,456249.401334721,1.07436980348066
2018,"E10000009","Dorset",426516,240770.174968082,109431.227253446,472,1774.12546571531,57312.6707018886,36267.7887572708,446027.987146402,1.04574737441597
2002,"E08000027","Dudley",305645,50391.9382237914,34191.5850582449,NA,124713.465140407,103720.764371416,24455.2634255097,337473.01621937,1.10413393387548
2003,"E08000027","Dudley",305585,58798.3365100484,36503.0176969073,NA,154252.245128564,96692.6913049028,27333.7289168742,373580.019557297,1.22250771326242
2004,"E08000027","Dudley",306171,65957.1020916795,79469.362377756,NA,175392.46139194,92238.9179357531,27848.6635363563,440906.507333484,1.44006619612401
2005,"E08000027","Dudley",307004,86201.1107171395,83155.8751619055,NA,179741.857292285,109987.421517132,28688.630791125,487774.895479587,1.58882260647935
2006,"E08000027","Dudley",307846,245507.750861758,102609.662117083,NA,21567.3995593345,111726.561505056,28355.2919009241,509766.665944156,1.65591453500827
2007,"E08000027","Dudley",308686,253099.141825254,104071.302140469,NA,19992.845228064,119130.985670148,28838.9613719349,525133.23623587,1.70118902780129
2008,"E08000027","Dudley",310377,241548.870058161,106640.417495917,21070,18550.4786734142,133261.373694235,29726.4633421878,550797.603263915,1.77460830945565
2009,"E08000027","Dudley",311088,253770.695225662,118872.461032572,21615,29466.1119773021,127662.840449017,30307.8321829054,581694.940867458,1.86987264332748
2010,"E08000027","Dudley",312206,272755.494871195,142639.623328409,19418,20545.7575741038,141490.26385854,30901.5025166505,627750.642148899,2.01069371552404
2011,"E08000027","Dudley",313261,270890.237480441,127080.750787759,675,38296.2183106894,123895.752821899,31202.0068262126,592039.966227001,1.88992554523864
2012,"E08000027","Dudley",313570,255087.616095807,130825.207547593,580,2930.58511988362,151173.881446272,28712.4703943355,569309.760603891,1.81557470613863
2013,"E08000027","Dudley",314357,255132.613643986,103968.386174114,77,95448.5231208522,63315.127077422,53430.7442716877,571372.394288062,1.81759081009191
2014,"E08000027","Dudley",315653,258289.809268072,101994.885282429,63,79859.5802335158,67489.1934733031,53542.273287879,561238.741545199,1.77802441777901
2015,"E08000027","Dudley",316331,244206.728147921,97679.9824359938,37,59945.2259764543,64718.9220170119,50510.354338523,517098.212915904,1.63467447994633
2016,"E08000027","Dudley",317558,236629.116762837,102025.395727126,9,47989.8537859108,65549.4164646439,49795.7055310984,501998.488271616,1.5808088231807
2017,"E08000027","Dudley",319419,230002.906935646,91220.9052004571,0,2557.95118356623,106687.681610795,48960.257254419,479429.702184883,1.50094296890568
2018,"E08000027","Dudley",320626,214166.342158121,80395.4312683399,22,2262.71879519609,103809.506069348,48822.4840186281,449478.482309634,1.40187783370542
2002,"E09000009","Ealing",309242,84533.436655776,96860.7502377427,NA,166646.219470138,103494.489332925,42588.006274375,494122.901970957,1.59785185056026
2003,"E09000009","Ealing",308108,168601.934783917,116448.147305471,NA,193101.614468079,95596.444227085,45098.5027588918,618846.643543444,2.00853805660172
2004,"E09000009","Ealing",310073,154670.504559967,180961.013406783,NA,209484.71646017,93302.3722299882,46851.9675989845,685270.574255893,2.21002981315978
2005,"E09000009","Ealing",312774,169853.863548375,188361.911425828,NA,212812.587650048,110183.108492223,48970.4744617276,730181.945578201,2.33453530529456
2006,"E09000009","Ealing",315329,333306.626877955,209521.626676055,NA,27934.1397805293,144708.597698684,41555.3679924189,757026.359025642,2.40075083175237
2007,"E09000009","Ealing",318671,405920.408757917,219662.477665548,NA,25486.9206387024,151868.684000711,42527.3916931924,845465.882756071,2.65309953762994
2008,"E09000009","Ealing",324022,383896.54255295,235724.607194603,13412,22853.1703464637,164167.652427542,43686.6972237259,863740.669745286,2.66568526132573
2009,"E09000009","Ealing",329966,440844.964266334,265704.828201467,14095.06596384,35676.1145242977,154568.212248794,45018.1296707348,955907.314875468,2.89698731043643
2010,"E09000009","Ealing",334073,458566.620848862,288936.352027757,23343.6285719956,24476.2605876453,168560.218875407,46196.0483808524,1010079.12929252,3.02352817884869
2011,"E09000009","Ealing",339314,499963.453051512,301962.879746824,378.56141632174,45545.1777918867,147346.384448382,46640.3742651967,1041836.83072012,3.07042099860343
2012,"E09000009","Ealing",340332,432365.516934689,304880.152185271,1849.17837703562,3443.41552802903,177666.123219831,43074.1421636468,963278.528408502,2.83040833188916
2013,"E09000009","Ealing",342108,441503.468601566,289570.831569341,126,109845.551222709,102924.647260491,79653.056600223,1023623.55525433,2.99210645543024
2014,"E09000009","Ealing",342997,434707.734155148,304100.93229956,0,91576.1541637947,103810.451530307,80479.7979931372,1014675.07014195,2.95826223011264
2015,"E09000009","Ealing",344285,403257.316391587,294778.15573623,0,69003.8576283644,110850.981230955,76025.669836955,953915.980824091,2.7707160661199
2016,"E09000009","Ealing",344802,398997.666148821,291813.371718102,0,54981.0759721672,121227.09344377,74884.4702408611,941903.677523721,2.73172335869201
2017,"E09000009","Ealing",342736,390301.621815907,281047.503143966,0,35007,168544.668267686,73093.7935059724,947994.586733531,2.76596151770906
2018,"E09000009","Ealing",341982,397970.519501221,262733.252842143,0,0,213000.429517729,65586.3531615844,939290.555022677,2.74660816950213
2002,"E06000011","East Riding of Yorkshire",318633,38396.106937214,47910,NA,91553.3149411761,106057.126747764,21889.2585026904,305805.807128845,0.959743049617725
2003,"E06000011","East Riding of Yorkshire",321869,51228.9276426595,51830.5314179035,NA,120867.254373525,99865.2355051959,23565.7186525553,347357.667591839,1.07918956964429
2004,"E06000011","East Riding of Yorkshire",325117,58899.007814115,73185.7899519398,NA,136009.102691975,96064.8333525157,23956.934033136,388115.667843682,1.19377229687676
2005,"E06000011","East Riding of Yorkshire",327268,61948.495153919,74640.9063653449,NA,131718.925476588,115959.376825398,24890.1128136132,409157.816634863,1.25022249848706
2006,"E06000011","East Riding of Yorkshire",328587,217516.816246375,81687.1747864983,NA,17409.7463094273,90187.9601020958,22422.3400228133,429224.03746721,1.30627212113446
2007,"E06000011","East Riding of Yorkshire",330865,238069.475923332,84773.2958527163,NA,16076.4539721767,95794.4477189829,22933.8604551021,457647.53392231,1.38318508733867
2008,"E06000011","East Riding of Yorkshire",332464,227926.765836984,88946,15552,15060.1977177602,108183.863783472,24086.630331738,479755.457669954,1.44302979471448
2009,"E06000011","East Riding of Yorkshire",332748,229524.328174283,98231,16530,24089.9266445293,104370.128307458,24788.6123309035,497533.995457174,1.49522760604774
2010,"E06000011","East Riding of Yorkshire",333599,235787.818857531,111041,20004,16960.0184952303,116794.496101121,25511.714562918,526099.048016799,1.57704024297675
2011,"E06000011","East Riding of Yorkshire",334673,228654.546335863,104364,1084,31198.5791675154,100931.030179283,27266.4330203138,493498.588702975,1.47456947140335
2012,"E06000011","East Riding of Yorkshire",335901,218283.661664054,104459,1284,2402.0507669491,123910.154054277,25331.1947197335,475670.061205013,1.41610195029194
2013,"E06000011","East Riding of Yorkshire",336072,226001.866569263,80507,688,76015.3209789368,56242.1084008812,45328.9785983671,484783.274547448,1.44249825795499
2014,"E06000011","East Riding of Yorkshire",337242,222346.181615088,80210,432,64100.0236478881,60958.5808885926,47698.5160798712,475745.302231439,1.41069410758873
2015,"E06000011","East Riding of Yorkshire",336756,220841.831906368,79865,310,48886.9286802132,68319.0970375839,45321.1215004588,463543.979124624,1.37649805534162
2016,"E06000011","East Riding of Yorkshire",337804,219396.631517953,78301,179,36182.7384353251,72648.8009464993,45062.1689180311,451770.339817809,1.3373741572563
2017,"E06000011","East Riding of Yorkshire",338061,210873.325415603,74651,232,23450.7065786672,72311.3883469878,44450.7310868158,425969.151428074,1.26003635861005
2018,"E06000011","East Riding of Yorkshire",339614,211804,70071.0863751696,262,15379.3626718593,75874.8935032749,44548.0466867292,417939.389237033,1.23063062546607
2002,"E10000011","East Sussex",496927,77718.0196943614,118205,NA,144308.386308433,165975.131891514,30171.4871280835,536378.025022391,1.07938998086719
2003,"E10000011","East Sussex",501148,94742.4980788781,129575,NA,177898.105781753,156453.64518013,31441.6400223034,590110.889063065,1.17751819634732
2004,"E10000011","East Sussex",505007,106325.020324539,158333,NA,193428.514234013,149675.182592733,31995.4219310237,639757.139082309,1.26682825996929
2005,"E10000011","East Sussex",508519,99376.2454222089,173386.132453759,NA,183439.883594212,179204.633789544,32966.8787414011,668373.774001124,1.3143535915101
2006,"E10000011","East Sussex",511525,333328,181313,NA,24148.190291852,125095.352609598,30480.3775483315,694364.920449782,1.35744082977329
2007,"E10000011","East Sussex",515891,360369.820894095,194551.015838058,NA,22049.5544323293,131390.258444837,31237.8011589292,739598.450768249,1.43363317206202
2008,"E10000011","East Sussex",519197,336075.938928656,204340.786542246,28842,20428.9002278846,146756.169837451,31835.199725352,768278.99526159,1.47974467352775
2009,"E10000011","East Sussex",520370,360124.103657854,236247.224391006,28837,32073.409638472,138953.837240368,32629.5143278131,828865.089255513,1.59283796001982
2010,"E10000011","East Sussex",523651,368589.901132333,261139.490266241,37447,22260.0349035547,153302.724681586,33484.4027902023,876223.553773917,1.6732968213064
2011,"E10000011","East Sussex",527209,374922.32349902,253965.404239068,4800,42357.1278229051,137030.618020275,35706.2311395331,848781.704720802,1.60995298775401
2012,"E10000011","East Sussex",531088,352979.366578894,258020.270236361,4428,3289.95033049423,169736.895562045,33098.6638172214,821553.146525015,1.54692470273291
2013,"E10000011","East Sussex",534904,340063.767069796,215248.045688593,1095,125030.549419052,81342.8400236193,54812.2627917852,817592.464992846,1.5284844850531
2014,"E10000011","East Sussex",540503,337952.787645228,209966.893706048,863,107114.589697657,83853.229796396,56943.9847226889,796694.485568018,1.47398716670956
2015,"E10000011","East Sussex",545021,326098.736375728,204728.444419259,58,82256.4734420946,92478.7326853167,54185.1116064281,759805.498528826,1.39408481238122
2016,"E10000011","East Sussex",549557,320926.058262057,199998.173691419,58,57044.4790099554,92181.3099912756,53832.9000723442,724040.921027051,1.31749922396958
2017,"E10000011","East Sussex",552259,330039.083584478,184906.707391508,58,33794.8439983151,93876.2589283377,53112.9004759663,695787.794378605,1.25989398883242
2018,"E10000011","East Sussex",554590,342198.015345732,166061.958116722,58,19430.1721095641,100653.617937031,52990.5454571065,681392.308966156,1.22864153512713
2002,"E09000010","Enfield",280745,89932.9639147523,104368.874003192,NA,165007.944024886,90015.5085524351,38663.4733364142,487988.76383168,1.73819218091749
2003,"E09000010","Enfield",281835,177579.351976661,117095.04401326,NA,185032.414807831,87006.067679971,41252.8610910858,607965.739568809,2.15716905128465
2004,"E09000010","Enfield",282217,166837.221636196,182165.026150688,NA,204296.527682964,85218.3642356173,42642.9316318499,681160.071337315,2.41360396906393
2005,"E09000010","Enfield",284779,161648.60696363,198945.524052305,NA,204669.551159601,101197.900638502,44587.3466040538,711048.929418092,2.49684467400367
2006,"E09000010","Enfield",287429,376053.128113506,191625.627353881,NA,22706.5024402378,117630.282019525,37878.5898749971,745894.129802147,2.59505523034261
2007,"E09000010","Enfield",291534,403819.64189346,235314.061959664,NA,21018.5300623009,125241.574707028,38905.8954529378,824299.70407539,2.82745650275916
2008,"E09000010","Enfield",297443,381408.096319315,252853.229539304,15919,19264.8212972057,138391.713436141,40103.1481884462,847940.008780413,2.85076471384572
2009,"E09000010","Enfield",301971,430648.725744257,296195.786638093,17920.1757367933,30408.0532934203,131740.564906629,41198.6981531474,948112.00447234,3.13974522213173
2010,"E09000010","Enfield",307648,427965.445605933,320533.239644135,26605.8271034095,21132.9080897526,145535.0107,42541.9650563574,984314.396199588,3.19948251313055
2011,"E09000010","Enfield",313935,466868.3654542,335884.81119647,1206.72035273238,41325.5903089644,133696.174265733,43151.9061840789,1022133.56776218,3.25587643226203
2012,"E09000010","Enfield",317257,400902.889052891,343478.853354496,1096.31776724842,3191.60350532981,164654.203787343,40153.653257443,953477.520724752,3.00537898525407
2013,"E09000010","Enfield",320317,415140.335888222,316561.714592458,116,105436.919367581,101741.10925947,74579.4548242474,1013575.53393198,3.16428891982623
2014,"E09000010","Enfield",324409,411337.130757812,318394.201795841,122,87844.5250953287,105546.718759917,76118.3648462105,999362.94125511,3.08056478474737
2015,"E09000010","Enfield",328738,380039.969013862,325160.949679529,71,65913.278307313,104984.908343093,72592.5516675455,948762.657011342,2.88607540658927
2016,"E09000010","Enfield",332127,348791.608247301,347121.958791508,0,52921.0880749183,104307.493005258,72131.700070436,925273.848189421,2.78590373016774
2017,"E09000010","Enfield",332705,338546.508958771,332190.361889364,0,34050,160894.844267893,70954.5264238497,936636.241539878,2.8152154056593
2018,"E09000010","Enfield",333869,329270.18689391,309680.855963628,0,0,206647.616309205,64030.4172257751,909629.076392518,2.72450894330566
2002,"E10000012","Essex",1319145,160966.852706901,220434.958251284,NA,394952.897896165,437864.763778806,74963.3017503655,1289182.77438352,0.977286632162135
2003,"E10000012","Essex",1326079,202668.458787396,237961.859896553,NA,484320.09398571,416366.358511484,76854.4615795721,1418171.23276072,1.06944701843609
2004,"E10000012","Essex",1334632,230125.798838347,357574.34052104,NA,549373.06866702,399004.492645949,78124.0590904444,1614201.7597628,1.20947329283488
2005,"E10000012","Essex",1345170,251508.127404428,393120.618310753,NA,529234.65534533,478036.041444217,81630.931548548,1733530.37405328,1.28870728164713
2006,"E10000012","Essex",1354301,921565.875919134,425062.541765995,NA,60591.7003290209,313881.402583375,80227.9105091882,1801329.43110671,1.33008055897966
2007,"E10000012","Essex",1362888,989256.259343427,442845.944336446,NA,55448.6714672946,330406.202694193,82105.4887057471,1900062.56654711,1.39414432187172
2008,"E10000012","Essex",1373172,991927.289906812,483577.712374665,52755,50899.6287795251,365636.458746692,85236.9527757374,2030033.04258343,1.47835307054282
2009,"E10000012","Essex",1379503,1014731.13641209,548964.062341341,55337,79958.2979567843,346420.342010268,87709.3526807269,2133120.19140121,1.54629615984975
2010,"E10000012","Essex",1388913,1019584.01896985,614275.805356831,76396,55588.7157386383,382625.687716142,90263.7385090998,2238733.96629056,1.61186047383138
2011,"E10000012","Essex",1396599,949121.74941604,572004.449824508,4681,104504.608492309,338088.240170119,94991.6799092729,2063391.72781225,1.47744035890921
2012,"E10000012","Essex",1407084,837456.390674691,578198.701751768,4602,8110.38703292515,418383.015090596,88474.4415400124,1935224.93608999,1.37534428370303
2013,"E10000012","Essex",1417596,784703.758827374,460387,2063,298283.280429391,201805.418050557,141660.497178283,1888902.9544856,1.33246916221942
2014,"E10000012","Essex",1433282,763465.845035486,454987,1386,255440.735665071,212125.684404871,146394.932709123,1833800.19781455,1.27944130869888
2015,"E10000012","Essex",1445323,758289.607126562,445867,1090,200815.35460017,215696.109053573,139440.082594241,1761198.15337454,1.21854986973469
2016,"E10000012","Essex",1457910,752219.670574185,433843,0,145839.523560221,211101.738709113,138646.938920077,1681650.8717636,1.15346686130392
2017,"E10000012","Essex",1468177,758229.995440235,418114.4,0,89996.3650333255,233873.225810669,136802.381668872,1637016.3679531,1.11499932770579
2018,"E10000012","Essex",1477764,719445.098641562,382279.6206,0,55612.5680179315,260247.355433979,136766.092564624,1554350.7352581,1.05182609351567
2002,"E08000037","Gateshead",191559,37213.7377832719,26013.404481193,NA,104984.018559405,65376.4153089058,15556.8774086341,249144.45354141,1.30061471161057
2003,"E08000037","Gateshead",192115,50597.0209866149,47267.4675407155,NA,120410.302437686,60632.0017935422,17053.7563554619,295960.549114021,1.5405384749448
2004,"E08000037","Gateshead",192317,57023.4165610273,53586.4772303102,NA,131288.563027394,57720.7590439219,17275.7716171066,316894.98747976,1.64777418262432
2005,"E08000037","Gateshead",192857,49217.3888721119,84937.5263626173,NA,130036.668927023,69018.8484844273,18006.6102333905,351217.04287957,1.82112675650648
2006,"E08000037","Gateshead",193615,152585.842360213,106175.455382673,NA,18940.4441446525,98117.5520484425,14685.1410505243,390504.434986505,2.01691209351809
2007,"E08000037","Gateshead",194934,162517.716839861,89518.4151829346,NA,17315.806695542,103181.527826879,15019.2946435284,387552.761188746,1.98812296053406
2008,"E08000037","Gateshead",196078,156437.097470562,93585.3845746214,17327,15605.291147627,112101.725116608,15261.0076627722,410317.505972192,2.09262388423072
2009,"E08000037","Gateshead",197481,156796.00962344,104352.401661454,19471.2507871374,24387.2380331422,105657.032845119,15601.1345194578,426265.067469751,2.15851179338646
2010,"E08000037","Gateshead",198731,160731.272515681,110895.446801701,23155,16765.1139025441,115454.647420198,15987.7784995553,442989.25913968,2.22908987092945
2011,"E08000037","Gateshead",200349,165212.163108338,113084.969613896,302,30604.8480891903,99010.9399036965,17530.3030056624,425745.223720783,2.12501796225977
2012,"E08000037","Gateshead",200272,141224.739614136,112810.046595463,545,2323.06703061193,119844.199441974,16170.562020204,392917.614702388,1.96191986249894
2013,"E08000037","Gateshead",200098,171835.557751098,91872.0047531471,110,80448.3562822286,42828.1420859478,33505.2418716426,420599.302744064,2.10196655011077
2014,"E08000037","Gateshead",200781,161361.021128006,98331.5447092689,96,67260.4784289719,43725.786899507,33362.2343218767,404137.06548763,2.01282524485699
2015,"E08000037","Gateshead",201724,150164.454947415,93992.0725404147,15,60325.5030606298,47588.3108973415,31854.4383795392,383939.77982534,1.90329251762477
2016,"E08000037","Gateshead",202628,148494.579356538,91110.4472166597,0,39628.9132940998,56468.3969187255,31669.4267993941,367371.763585417,1.8130355310491
2017,"E08000037","Gateshead",202419,156048.473565755,83617.4991241844,0,29735.9774668935,57681.6982545076,31108.8795665789,358192.527977919,1.76955981393999
2018,"E08000037","Gateshead",202508,157398.115667764,71596.1981546997,0,23137.3406158728,62123.6463681315,30949.9850629357,345205.285869404,1.70465011688133
2002,"E10000013","Gloucestershire",566445,77124,102043,NA,141606,187832,33654,542259,0.957302121123851
2003,"E10000013","Gloucestershire",569281,113132,116955,NA,189501,179215,36000,634803,1.11509605976662
2004,"E10000013","Gloucestershire",572641,125488,138541,NA,215889,171598,36225,687741,1.20099853136607
2005,"E10000013","Gloucestershire",576908,126039,148561,NA,206906,205235,37862,724603,1.2560113570968
2006,"E10000013","Gloucestershire",580702,400726,160692,NA,25138,130227,32962,749745,1.29110111554636
2007,"E10000013","Gloucestershire",585415,455463,196232,NA,23057,137390,33771,845913,1.44498005688272
2008,"E10000013","Gloucestershire",587610,449326,192544,25840,21523,154606,33823,877662,1.49361311073671
2009,"E10000013","Gloucestershire",590480,464823,219839,26758,33946,147070,34754,927190,1.57023099850969
2010,"E10000013","Gloucestershire",594097,444243,240859,44544,23634,162759,35710,951749,1.60200943616951
2011,"E10000013","Gloucestershire",598289,370364,207741,1684,45732,147950,39052,812523,1.35807778515065
2012,"E10000013","Gloucestershire",602216,321215,215146,1408,3495,180314,36214,757792,1.25833920055263
2013,"E10000013","Gloucestershire",605959,318674,181303,885,119627,79631,59527,759647,1.25362772068737
2014,"E10000013","Gloucestershire",611739,323405,183363,912,101778,85327,62747,757532,1.2383254950232
2015,"E10000013","Gloucestershire",617527,354174.757,167960,647,78871,89134,59827,750613.757,1.21551568919254
2016,"E10000013","Gloucestershire",623094,368180.007,160438,0,57077,84311,60004,730010.007,1.1715888886749
2017,"E10000013","Gloucestershire",628139,361396,157192,122,34817,92927,59250,705704,1.12348381488811
2018,"E10000013","Gloucestershire",633558,375655,137902,122,0,123004,59250,695933,1.09845191758292
2002,"E09000011","Greenwich",221476,80711.6073197517,81976.4124266895,NA,178587.956750274,72629.0012401258,30501.1003603116,444406.078097153,2.00656539804382
2003,"E09000011","Greenwich",224303,156512.221840513,87315.7403704514,NA,205904.734190718,68337.012318628,32831.7650444899,550901.4737648,2.45605932049415
2004,"E09000011","Greenwich",227190,151318.996175026,147625.355496567,NA,226271.508985258,67092.1357065304,34328.3630590644,626636.359422446,2.75820396770301
2005,"E09000011","Greenwich",230494,168351.087810109,148166.409439994,NA,235591.967630974,80833.0280419933,36088.0397366195,669030.53265969,2.90259413546422
2006,"E09000011","Greenwich",233990,327156.145372524,164717.036609161,NA,28983.7638442581,150146.989095564,30836.1760464343,701840.110967941,2.99944489494398
2007,"E09000011","Greenwich",236535,350065.193583834,170110.42266984,NA,26555.6972026808,158240.666609475,31566.1500235329,736538.130089363,3.11386530572373
2008,"E09000011","Greenwich",239748,325640.901562193,172699.61026008,19789,23767.6645419878,170736.860164428,32324.3430569339,744958.379585623,3.10725586693371
2009,"E09000011","Greenwich",243672,371351.790647237,191723.283973221,21704.1568996225,37216.0767726514,161238.953604578,33244.8121719428,816479.074069252,3.35072997336277
2010,"E09000011","Greenwich",249171,371797.291937786,181128.430226652,29888.562903655,25743.4251372729,177282.915696282,34455.6895382308,820296.315439878,3.29210187156562
2011,"E09000011","Greenwich",255483,443341.775311244,193207.44215493,329.364899986068,47650.882615526,154158.296666292,35117.3919684872,873805.153616465,3.42020859946245
2012,"E09000011","Greenwich",259986,384550.505329449,185863.701920595,1824.43447437203,3609.63499603374,186186.166958826,32905.1453420715,794939.589021346,3.05762459909898
2013,"E09000011","Greenwich",264097,370875.655141849,178128.613154233,132,116265.048783611,102563.448646492,61489.7438497466,829454.509575931,3.14071916597285
2014,"E09000011","Greenwich",268853,364433.550042169,173105.029649046,113,96030.3559255582,111044.508850741,63082.8699080427,807809.314375557,3.0046505502098
2015,"E09000011","Greenwich",274542,329679.191791042,177516.885972772,0,70751.1296687524,111188.718774006,60624.8876610288,749760.813867602,2.73095123466574
2016,"E09000011","Greenwich",279139,343394.618372619,174293.710454044,0,58473.2740552398,108722.597223336,60623.7090810486,745507.909186287,2.67074077497694
2017,"E09000011","Greenwich",282849,323479.819715488,167079.957902781,0,41394,157454.589922993,60321.957423121,749730.324964382,2.6506380611718
2018,"E09000011","Greenwich",286186,327887.600832723,166131.749793503,0,0,210894.764069339,54885.6257519437,759799.740447509,2.65491582553832
