Contents,,,,,,,,,,,,,,,,,,
"Monthly figures on deaths registered by area of usual residence, 2020",,,,,,,,,,,,,England and Wales,,,,,
,,,,,,,,,,,,,,,,,,
Area of usual residence,,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,,,,,
,,,,,,,,,,,,,,,,,,
"K04000001, J99000001","ENGLAND, WALES AND ELSEWHERE 1","56,704","43,650","49,723","88,141","52,363","42,614","40,778","37,184","42,494","46,282","51,317","56,672",,,,,
E07000105,Ashford,135,76,101,172,115,135,101,81,110,100,83,125,,,,,
E07000106,Canterbury,178,141,134,224,166,122,115,111,117,128,145,200,,,,,
E07000107,Dartford,111,67,84,173,76,78,74,63,51,59,59,89,,,,,
E07000108,Dover,139,93,137,183,135,129,104,87,93,133,107,175,,,,,
E07000109,Gravesham,134,84,96,176,95,64,61,79,67,71,73,114,,,,,
E07000110,Maidstone,157,114,141,234,153,108,105,114,121,109,141,212,,,,,
E07000111,Sevenoaks,125,89,130,157,93,101,96,72,90,73,87,109,,,,,
E07000112,Folkestone and Hythe,146,96,113,181,137,120,102,102,93,103,122,172,,,,,
E07000113,Swale,165,115,141,200,135,101,110,98,121,132,149,172,,,,,
E07000114,Thanet,180,131,174,286,174,157,126,126,178,153,155,204,,,,,
E07000115,Tonbridge and Malling,122,90,96,126,109,72,94,70,104,110,88,139,,,,,
E07000116,Tunbridge Wells,124,83,130,128,103,78,68,73,89,86,86,136,,,,,
,,,,,,,,,,,,,,,,,,
E10000025,Oxfordshire,623,421,482,"1,003",540,420,366,433,456,423,468,511,,,,,
E07000177,Cherwell,157,105,122,223,126,89,91,115,120,91,101,113,,,,,
E07000178,Oxford,99,61,78,178,79,65,63,59,75,79,71,91,,,,,
E07000179,South Oxfordshire,126,95,103,180,126,110,77,90,77,89,106,112,,,,,
E07000180,Vale of White Horse,116,78,99,219,103,75,76,91,103,86,105,97,,,,,
E07000181,West Oxfordshire,125,82,80,203,106,81,59,78,81,78,85,98,,,,,
,,,,,,,,,,,,,,,,,,
E10000030,Surrey,"1,016",813,"1,032","1,946","1,119",885,759,726,844,803,872,940,,,,,
E07000207,Elmbridge,102,87,106,187,110,115,83,75,97,80,94,98,,,,,
E07000208,Epsom and Ewell,64,52,54,136,54,45,40,41,55,53,46,70,,,,,
E07000209,Guildford,98,92,104,177,106,87,85,77,90,89,86,91,,,,,
E07000210,Mole Valley,91,67,101,197,96,82,73,63,75,78,76,73,,,,,
E07000211,Reigate and Banstead,139,91,130,291,154,101,92,109,108,93,106,117,,,,,
E07000212,Runnymede,67,69,77,136,73,70,60,57,59,57,61,57,,,,,
E07000213,Spelthorne,86,62,84,161,95,62,61,54,74,57,71,87,,,,,
E07000214,Surrey Heath,102,69,85,170,104,61,60,48,57,51,68,76,,,,,
E07000215,Tandridge,62,74,99,143,100,66,68,62,55,73,73,74,,,,,
E07000216,Waverley,133,98,113,221,129,104,84,80,88,94,117,110,,,,,
E07000217,Woking,72,52,79,127,98,92,53,60,86,78,74,87,,,,,
,,,,,,,,,,,,,,,,,,
E10000032,West Sussex,988,803,871,"1,353",937,700,737,640,748,754,777,798,,,,,
E07000223,Adur,76,50,73,95,74,45,52,51,57,56,52,51,,,,,
E07000224,Arun,239,206,172,273,206,165,177,151,192,185,166,193,,,,,
E07000225,Chichester,158,123,148,204,150,129,119,107,119,141,132,137,,,,,
E07000226,Crawley,79,71,70,128,78,61,60,45,46,53,67,67,,,,,
E07000227,Horsham,139,138,146,204,153,114,112,94,107,111,114,119,,,,,
E07000228,Mid Sussex,154,105,135,263,142,96,106,106,99,105,124,117,,,,,
E07000229,Worthing,143,110,127,186,134,90,111,86,128,103,122,114,,,,,
,,,,,,,,,,,,,,,,,,
E12000009,SOUTH WEST,"6,055","4,586","5,129","7,596","5,130","4,500","4,369","3,945","4,555","4,761","5,000","5,539",,,,,
,,,,,,,,,,,,,,,,,,
E06000022,Bath and North East Somerset,170,120,171,240,147,123,134,118,144,151,135,175,,,,,
E06000058,"Bournemouth, Christchurch and Poole",453,308,334,577,402,335,334,331,337,391,400,430,,,,,
E06000023,"Bristol, City of",353,275,306,497,309,225,243,204,252,245,323,309,,,,,
E06000052,Cornwall,725,524,509,745,518,502,490,429,485,514,532,563,,,,,
E06000053,Isles of Scilly ,3,,2,1,1,,4,2,1,1,,1,,,,,
E06000059,Dorset,506,353,465,588,436,341,351,313,362,370,423,448,,,,,
E06000024,North Somerset,248,193,212,268,259,205,192,156,178,182,203,250,,,,,
E06000026,Plymouth ,262,177,226,313,223,191,189,163,205,211,223,215,,,,,
E06000025,South Gloucestershire,231,153,213,340,245,193,187,176,172,209,222,251,,,,,
E06000030,Swindon ,167,147,175,305,186,154,123,137,139,141,147,172,,,,,
E06000027,Torbay ,191,136,158,218,136,137,136,112,145,168,160,174,,,,,
E06000054,Wiltshire ,502,393,451,694,492,405,366,331,365,410,391,441,,,,,
,,,,,,,,,,,,,,,,,,
E10000008,Devon ,911,748,779,"1,018",675,697,680,587,732,740,733,867,,,,,
E07000040,East Devon,197,161,168,212,127,147,132,118,151,154,149,199,,,,,
E07000041,Exeter,106,90,100,142,62,77,83,58,92,97,94,99,,,,,
E07000042,Mid Devon,87,64,61,85,73,78,65,53,75,70,72,91,,,,,
E07000043,North Devon,107,80,109,128,78,97,99,76,89,102,92,118,,,,,
E07000044,South Hams,92,67,81,101,75,65,70,69,73,76,65,80,,,,,
E07000045,Teignbridge,163,150,140,174,136,111,126,106,140,122,117,134,,,,,
E07000046,Torridge,94,74,66,94,58,74,60,52,69,63,83,79,,,,,
E07000047,West Devon,65,62,54,82,66,48,45,55,43,56,61,67,,,,,
,,,,,,,,,,,,,,,,,,
E10000013,Gloucestershire ,687,522,558,"1,016",592,467,489,453,487,505,579,647,,,,,
E07000078,Cheltenham,130,107,101,190,109,88,91,102,89,106,104,127,,,,,
E07000079,Cotswold,116,77,91,143,60,85,89,71,72,81,96,82,,,,,
E07000080,Forest of Dean,82,74,97,119,86,73,71,64,83,88,77,100,,,,,
E07000081,Gloucester,131,89,97,213,155,87,70,77,84,79,104,96,,,,,
E07000082,Stroud,136,102,93,185,116,76,105,95,94,96,122,157,,,,,
E07000083,Tewkesbury,92,73,79,166,66,58,63,44,65,55,76,85,,,,,
,,,,,,,,,,,,,,,,,,
E10000027,Somerset,646,537,570,776,509,525,451,433,551,523,529,596,,,,,
E07000187,Mendip,120,107,95,136,88,114,92,85,120,101,104,139,,,,,
E07000188,Sedgemoor,136,124,138,210,124,111,98,92,108,118,120,124,,,,,
E07000246,Somerset West and Taunton,186,150,166,234,155,141,126,136,173,160,156,158,,,,,
E07000189,South Somerset,204,156,171,196,142,159,135,120,150,144,149,175,,,,,
,,,,,,,,,,,,,,,,,,
W92000004,WALES,"3,552","2,749","3,133","4,544","2,900","2,692","2,547","2,378","2,610","2,992","3,361","3,941",,,,,
,,,,,,,,,,,,,,,,,,
W06000001,Isle of Anglesey,81,81,78,74,68,77,68,66,83,73,65,63,,,,,
W06000002,Gwynedd,154,111,119,155,109,110,95,99,104,137,108,127,,,,,
W06000003,Conwy,182,90,129,148,134,134,113,107,112,142,136,160,,,,,
W06000004,Denbighshire,150,105,106,131,112,131,79,63,95,125,104,137,,,,,
W06000005,Flintshire,167,126,156,195,136,136,140,100,124,144,163,178,,,,,
W06000006,Wrexham,131,122,126,139,144,146,115,114,122,125,137,169,,,,,
W06000023,Powys,176,152,143,215,145,125,107,108,127,134,142,151,,,,,
W06000008,Ceredigion,106,82,82,74,62,65,74,62,48,58,83,81,,,,,
W06000009,Pembrokeshire,156,131,133,157,138,103,94,118,102,124,119,184,,,,,
W06000010,Carmarthenshire,221,217,212,255,179,163,160,165,199,192,180,261,,,,,
W06000011,Swansea,300,241,235,389,218,198,209,179,179,235,280,346,,,,,
W06000012,Neath Port Talbot,149,162,163,202,161,120,124,114,123,161,164,259,,,,,
W06000013,Bridgend,189,130,132,221,122,139,129,134,129,150,199,204,,,,,
W06000014,Vale of Glamorgan,142,104,124,171,114,98,108,95,80,109,126,148,,,,,
W06000015,Cardiff,255,204,272,527,254,220,215,188,203,244,254,306,,,,,
W06000016,Rhondda Cynon Taf,278,199,254,433,233,223,198,162,189,273,333,329,,,,,
W06000024,Merthyr Tydfil,51,49,57,119,67,57,46,39,57,57,81,93,,,,,
W06000018,Caerphilly,195,148,188,294,118,126,133,138,172,177,200,233,,,,,
W06000019,Blaenau Gwent,90,74,82,127,70,55,68,69,64,60,111,108,,,,,
W06000020,Torfaen,104,69,112,146,79,77,79,73,91,76,129,130,,,,,
W06000021,Monmouthshire,98,52,97,130,92,71,73,71,90,73,109,102,,,,,
W06000022,Newport,177,100,133,242,145,118,120,114,117,123,138,172,,,,,
,,,,,,,,,,,,,,,,,,
J99000001,Non-residents of England & Wales,109,98,80,103,58,41,49,54,66,40,54,71,,,,,
,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,
1 The deaths of those whose usual residence is outside England and Wales are included in counts for 'England Wales and elsewhere' but excluded from any sub-division of England and Wales.,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source: Office for National Statistics,,Released: 23 July 2021,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
